id,screen_name,state,create_at,Codes,Majority Vote,Confidence Score,Comments
340,fullcopperrepip,Utah,6/10/2020, COVID severity , COVID severity ,1,
341,Vick_RepsHB,California,6/11/2020," Political legitimizing of risk 
 Mask behavior of others "," Political legitimizing of risk 
 Mask behavior of others ",1,
342,angela_oehley,New Jersey,6/11/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
343,BradHound,Massachusetts,6/11/2020, Who is at risk? , Who is at risk? ,1,
344,cosmicdahlia,Pennsylvania,6/11/2020," COVID severity 
 Mask behavior of others "," COVID severity 
 Mask behavior of others ",1,
345,kennyjacobs,Arizona,6/11/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
346,NephronPharm,South Carolina,6/11/2020, Mask behavior of others , Mask behavior of others ,1,
347,NinjaMomMovies,California,6/12/2020, Nonrelevant, Nonrelevant,1,
348,YKywala,Virginia,6/12/2020, COVID severity , COVID severity ,1,
349,ebpersons,New York,6/12/2020," Political legitimizing of risk 
 COVID severity "," Political legitimizing of risk 
 COVID severity ",1,
350,almamargarita73,Arizona,6/12/2020,"Mask guidelines and policies 
 Mask effectiveness ","Mask guidelines and policies 
 Mask effectiveness ",1,
351,shannon_nycrn,Florida,6/12/2020, Mask behavior of others , Mask behavior of others ,1,
352,pbfa,Arizona,6/12/2020,Mask guidelines and policies ,Mask guidelines and policies ,1,
353,Parkabba,Tennessee,6/12/2020," Mask behavior of others 
 Mask effectiveness "," Mask behavior of others 
 Mask effectiveness ",1,
354,Tierno158,Florida,6/12/2020, Nonrelevant, Nonrelevant,1,
355,BartThompsonOE,West Virginia,6/12/2020,Mask guidelines and policies ,Mask guidelines and policies ,1,
356,melissaobuch,North Carolina,6/12/2020," Mask behavior of others 
 Mask effectiveness "," Mask behavior of others 
 Mask effectiveness ",1,
357,JuanBReal,Ohio,6/12/2020, Mask behavior of others , Mask behavior of others ,1,
358,BlueyedMama82,Arizona,6/12/2020, COVID severity , COVID severity ,1,
359,PBoothMedia,Florida,6/13/2020, Mask behavior of others , Mask behavior of others ,1,
360,MScottDonnelly,New York,6/13/2020, Who is at risk? , Who is at risk? ,1,
361,WFTSisabel,Florida,6/13/2020," COVID severity 
 Mask behavior of others "," COVID severity 
 Mask behavior of others ",1,
362,greatherinme,Georgia,6/13/2020, Mask behavior of others , Mask behavior of others ,1,
363,miche11e_palmer,New Jersey,6/14/2020," Who is at risk? 
 Mask behavior of others "," Who is at risk? 
 Mask behavior of others ",1,
364,_kayeangelique,Illinois,6/14/2020, Mask behavior of others , Mask behavior of others ,1,
365,DestinyDanny,South Carolina,6/14/2020, Mask behavior of others , Mask behavior of others ,1,
366,Vangie4Congress,Virginia,6/14/2020," COVID severity 
 Mask behavior of others "," COVID severity 
 Mask behavior of others ",1,
367,gendervoyd,California,6/14/2020," COVID severity 
 Mask behavior of others "," COVID severity 
 Mask behavior of others ",1,
368,drjonathanchung,Florida,6/14/2020, Nonrelevant, Nonrelevant,1,
369,Starky24601,Oklahoma,6/14/2020, Mask behavior of others , Mask behavior of others ,1,
370,Rachell79810881,Texas,6/15/2020," Political legitimizing of risk 
 COVID severity "," Political legitimizing of risk 
 COVID severity ",1,
371,lilagnes,Massachusetts,6/15/2020, Mask behavior of others , Mask behavior of others ,1,
372,seanyodarouse,California,6/15/2020, Mask behavior of others , Mask behavior of others ,1,
373,PoliticsOyVey,North Carolina,6/15/2020," Political legitimizing of risk 
 COVID severity "," Political legitimizing of risk 
 COVID severity ",1,
374,StevenDialFox4,Texas,6/15/2020," Political legitimizing of risk 
 Mask behavior of others "," Political legitimizing of risk 
 Mask behavior of others ",1,
375,AlfredAzer,New York,6/15/2020, Nonrelevant, Nonrelevant,1,
376,newbarbarian,Washington,6/15/2020, Nonrelevant, Nonrelevant,1,
377,JMOTA3,California,6/16/2020, Nonrelevant, Nonrelevant,1,
378,Thalassatx,Texas,6/17/2020," Political legitimizing of risk 
 COVID severity 
 Mask behavior of others "," Political legitimizing of risk 
 COVID severity 
 Mask behavior of others ",1,
379,lizmaebrooks,Minnesota,6/17/2020, Who is at risk? , Who is at risk? ,1,
380,BrewCityEmpire,Wisconsin,6/17/2020, Mask behavior of others , Mask behavior of others ,1,
381,Liami11082154,Texas,6/17/2020," Political legitimizing of risk 
 COVID severity 
 Who is at risk? "," Political legitimizing of risk 
 COVID severity 
 Who is at risk? ",1,
382,SylvesterTurner,Texas,6/17/2020," COVID severity 
 Mask behavior of others "," COVID severity 
 Mask behavior of others ",1,
383,candirain74,Texas,6/17/2020, Mask behavior of others , Mask behavior of others ,1,
384,DancesWithRain,Washington,6/17/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
385,quicksilver99,Tennessee,6/23/2020, Who is at risk? , Who is at risk? ,1,
386,RedCardUtah,Utah,6/23/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
387,restice,Ohio,6/23/2020," Political legitimizing of risk 
 COVID severity "," Political legitimizing of risk 
 COVID severity ",1,
388,janell_patton,Missouri,6/24/2020," COVID severity 
 Mask behavior of others "," COVID severity 
 Mask behavior of others ",1,
389,RandiiNicholee,Florida,6/24/2020," Political legitimizing of risk 
 COVID severity "," Political legitimizing of risk 
 COVID severity ",1,
390,JENFL23,Florida,6/24/2020, Who is at risk? , Who is at risk? ,1,
391,sidney_ella,Washington,6/24/2020, Who is at risk? , Who is at risk? ,1,
392,brianbasics,New York,6/25/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
393,Brandt_Phenom,California,6/25/2020, Nonrelevant, Nonrelevant,1,
394,valondraval,Texas,6/25/2020,"Mask guidelines and policies 
 Mask effectiveness ","Mask guidelines and policies 
 Mask effectiveness ",1,
395,Taylor_Upchurch,Oklahoma,6/25/2020, Mask behavior of others , Mask behavior of others ,1,
396,BaileyFuches_,Arizona,6/25/2020," Who is at risk? 
 Mask behavior of others "," Who is at risk? 
 Mask behavior of others ",1,
397,amc91355,Missouri,6/25/2020, Mask behavior of others , Mask behavior of others ,1,
398,JohnPate1,Tennessee,6/25/2020, Mask effectiveness , Mask effectiveness ,1,
400,IDreamOfHamill,California,6/25/2020,"Mask guidelines and policies 
 COVID severity 
 Mask behavior of others ","Mask guidelines and policies 
 COVID severity 
 Mask behavior of others ",1,
401,dickalan,Texas,6/25/2020," COVID severity 
 Mask behavior of others "," COVID severity 
 Mask behavior of others ",1,
402,tompkinscondie,Florida,6/26/2020," COVID severity 
 Mask behavior of others "," COVID severity 
 Mask behavior of others ",1,
403,phxsooner,Arizona,6/26/2020,"Mask guidelines and policies 
 Mask effectiveness ","Mask guidelines and policies 
 Mask effectiveness ",1,
404,kenziecannabis,California,6/26/2020, Mask effectiveness , Mask effectiveness ,1,
405,MatthewWeissMD,Montana,6/26/2020, Mask effectiveness , Mask effectiveness ,1,
406,TripLangley,New York,6/26/2020, Mask behavior of others , Mask behavior of others ,1,
407,CoWindridge,Pennsylvania,6/26/2020, Mask effectiveness , Mask effectiveness ,1,
408,rfryan2000,Maryland,6/26/2020, Nonrelevant, Nonrelevant,1,
409,glowingcanary,California,6/26/2020, Who is at risk? , Who is at risk? ,1,
410,SapnaKmd,New Jersey,6/26/2020, Nonrelevant, Nonrelevant,1,
411,Patbagley,Utah,6/26/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
412,flan09,New York,6/26/2020," Political legitimizing of risk 
 COVID severity "," Political legitimizing of risk 
 COVID severity ",1,
413,LCampesinas,California,6/26/2020, Nonrelevant, Nonrelevant,1,
414,Indivisible_Col,California,6/26/2020," Political legitimizing of risk 
 COVID severity 
 Mask behavior of others "," Political legitimizing of risk 
 COVID severity 
 Mask behavior of others ",1,
415,jhughes_esq,Texas,6/26/2020," Political legitimizing of risk 
 Mask effectiveness "," Political legitimizing of risk 
 Mask effectiveness ",1,
416,Gene_Lyons_,Arizona,6/26/2020, Nonrelevant, Nonrelevant,1,
417,punkrockproseco,Ohio,6/27/2020,"Mask guidelines and policies 
 COVID severity ","Mask guidelines and policies 
 COVID severity ",1,
418,ka_butche,Texas,6/27/2020," COVID severity 
 Mask effectiveness "," COVID severity 
 Mask effectiveness ",1,
419,FrankSowa1,Pennsylvania,6/27/2020, Nonrelevant, Nonrelevant,1,
420,Danlellemurphy,California,6/27/2020," Who is at risk? 
 Mask behavior of others "," Who is at risk? 
 Mask behavior of others ",1,
421,blvkkhvrt,Texas,6/27/2020, Nonrelevant, Nonrelevant,1,
422,BBakhshandeh,California,6/27/2020, Mask behavior of others , Mask behavior of others ,1,
423,EyamCC147,California,6/27/2020, Nonrelevant, Nonrelevant,1,
424,gr8justinc,Utah,6/27/2020, Nonrelevant, Nonrelevant,1,
425,tanyaisley,Washington,6/27/2020, Mask effectiveness , Mask effectiveness ,1,
426,jamiaw,New York,6/27/2020," COVID severity 
 Mask behavior of others "," COVID severity 
 Mask behavior of others ",1,
427,BayuraSr,Ohio,6/27/2020," COVID severity 
 Who is at risk? "," COVID severity 
 Who is at risk? ",1,
428,stevemcmahon13,Florida,6/28/2020, Nonrelevant, Nonrelevant,1,
429,FollowTheLAW5,Florida,6/28/2020," COVID severity 
 Mask behavior of others "," COVID severity 
 Mask behavior of others ",1,
430,MarcLobliner,Tennessee,6/28/2020, Mask effectiveness , Mask effectiveness ,1,
431,LouiseF34217400,Utah,6/28/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
432,libertylovingam,Georgia,6/28/2020,"Mask guidelines and policies 
 Political legitimizing of risk 
 Mask effectiveness ","Mask guidelines and policies 
 Political legitimizing of risk 
 Mask effectiveness ",1,
433,DaRealAldo,California,6/28/2020," Political legitimizing of risk 
 Mask behavior of others "," Political legitimizing of risk 
 Mask behavior of others ",1,
434,uhhandre,Arizona,6/28/2020," Who is at risk? 
 Mask behavior of others "," Who is at risk? 
 Mask behavior of others ",1,
435,YouFeedThem,Louisiana,6/29/2020," Who is at risk? 
 Mask behavior of others "," Who is at risk? 
 Mask behavior of others ",1,
436,EmperorIra,Maryland,6/29/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
437,madelyn_leanne,Oregon,6/29/2020," Who is at risk? 
 Mask behavior of others "," Who is at risk? 
 Mask behavior of others ",1,
438,kaydeegrace132,Nevada,6/29/2020, Who is at risk? , Who is at risk? ,1,
439,iam_jthompson,Pennsylvania,6/29/2020, Mask behavior of others , Mask behavior of others ,1,
440,jeffblankenburg,Ohio,6/29/2020," COVID severity 
 Mask behavior of others "," COVID severity 
 Mask behavior of others ",1,
441,mandabeaudry,Georgia,6/29/2020, Who is at risk? , Who is at risk? ,1,
442,rickwtyler,Virginia,6/29/2020, Mask behavior of others , Mask behavior of others ,1,
443,TimDavidRay,Louisiana,6/29/2020, Mask behavior of others , Mask behavior of others ,1,
444,katem98,Missouri,6/30/2020," Political legitimizing of risk 
 COVID severity "," Political legitimizing of risk 
 COVID severity ",1,
445,GTolbert9,Alabama,6/30/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
446,PerfectLemonade,Georgia,6/30/2020," Political legitimizing of risk 
 COVID severity "," Political legitimizing of risk 
 COVID severity ",1,
447,tmartin1016,Tennessee,6/30/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
448,JasmynElaine,Missouri,6/30/2020,"Mask guidelines and policies 
 Political legitimizing of risk ","Mask guidelines and policies 
 Political legitimizing of risk ",1,
449,Kaplan4Kids,California,6/30/2020," Who is at risk? 
 Mask behavior of others "," Who is at risk? 
 Mask behavior of others ",1,
450,_thedragonrose_,California,6/30/2020,Mask guidelines and policies ,Mask guidelines and policies ,1,
1,TwentyHouse,Ohio,1/30/2020, Mask effectiveness , Mask effectiveness ,1,
2,Buichuk,California,1/31/2020, Mask effectiveness , Mask effectiveness ,1,
3,kaityy_bugg,Utah,1/31/2020, Who is at risk? , Who is at risk? ,1,
4,Chxrles_xo,Rhode Island,2/1/2020," COVID severity 
 Mask behavior of others "," COVID severity 
 Mask behavior of others ",1,
5,ThaPolymath,Illinois,2/4/2020, COVID severity , COVID severity ,1,
6,BeLikeRock,California,2/4/2020, COVID severity , COVID severity ,1,
7,redhawksoars,California,2/7/2020," COVID severity 
 Who is at risk? "," COVID severity 
 Who is at risk? ",1,
8,KristinaDeLeon,Texas,2/13/2020, COVID severity , COVID severity ,1,
9,KWCHKristen,Kansas,2/18/2020," COVID severity 
 Mask effectiveness "," COVID severity 
 Mask effectiveness ",1,
10,CatonComedy,Florida,2/27/2020, Mask behavior of others , Mask behavior of others ,1,
11,amberwilmarth,Oregon,2/27/2020,"Mask guidelines and policies 
 COVID severity 
 Who is at risk? ","Mask guidelines and policies 
 COVID severity 
 Who is at risk? ",1,
12,KimNBCLA,California,3/4/2020," COVID severity 
 Mask behavior of others "," COVID severity 
 Mask behavior of others ",1,
13,setofarsonist,Pennsylvania,3/7/2020," Political legitimizing of risk 
 COVID severity "," Political legitimizing of risk 
 COVID severity ",1,
14,Beard_Vet,Nebraska,3/8/2020," Who is at risk? 
 Mask behavior of others "," Who is at risk? 
 Mask behavior of others ",1,
15,kujo1017,Virginia,3/17/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
16,Isabelhodge,Virginia,3/21/2020, Who is at risk? , Who is at risk? ,1,
17,Donjenkins11,California,3/23/2020, Who is at risk? , Who is at risk? ,1,
18,LoudButHarmless,California,3/24/2020, Who is at risk? , Who is at risk? ,1,
19,SLentzsch,New York,3/25/2020," Political legitimizing of risk 
 COVID severity 
 Who is at risk? "," Political legitimizing of risk 
 COVID severity 
 Who is at risk? ",1,Relevant political mention 
20,BFriedel19,California,3/25/2020,"Mask guidelines and policies 
 Who is at risk? ","Mask guidelines and policies 
 Who is at risk? ",1,
21,pepromene2,Pennsylvania,3/27/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
22,jamestingstrom,Iowa,3/27/2020, Nonrelevant, Nonrelevant,1,Interesting : Fanatics
23,adamhayden,Indiana,3/27/2020, Nonrelevant, Nonrelevant,1,
24,AnthonyQuintano,New Jersey,3/28/2020,"Mask guidelines and policies 
 Mask effectiveness ","Mask guidelines and policies 
 Mask effectiveness ",1,link: guidelines discussed 
25,ola,California,3/30/2020, Mask behavior of others , Mask behavior of others ,1,rapper mentioned 
26,tedfujimoto,California,3/30/2020,"Mask guidelines and policies 
 Mask effectiveness ","Mask guidelines and policies 
 Mask effectiveness ",1,
27,bridgie_a,New Jersey,3/31/2020, Mask behavior of others , Mask behavior of others ,1,used masks perceived as dangerous 
28,dsarjeant,California,4/1/2020,"Mask guidelines and policies 
 Who is at risk? ","Mask guidelines and policies 
 Who is at risk? ",1,
29,gabrielpina4,Illinois,4/2/2020, Nonrelevant, Nonrelevant,1,
30,Godsperfectionz,Texas,4/3/2020,"Mask guidelines and policies 
 Political legitimizing of risk ","Mask guidelines and policies 
 Political legitimizing of risk ",1,
31,723irondoor,New York,4/4/2020,"Mask guidelines and policies 
 COVID severity ","Mask guidelines and policies 
 COVID severity ",1,
32,DavidCu73086898,Oregon,4/4/2020,"Mask guidelines and policies 
 Who is at risk? 
 Mask behavior of others ","Mask guidelines and policies 
 Who is at risk? 
 Mask behavior of others ",1,
33,AgapeDoulaOK,Oklahoma,4/4/2020,Mask guidelines and policies ,Mask guidelines and policies ,1,
34,Julie9320,Indiana,4/4/2020, COVID severity , COVID severity ,1,
35,barelysmash,Texas,4/4/2020,"Mask guidelines and policies 
 Political legitimizing of risk 
 COVID severity ","Mask guidelines and policies 
 Political legitimizing of risk 
 COVID severity ",1,
36,wuky,Kentucky,4/4/2020,Mask guidelines and policies ,Mask guidelines and policies ,1,
37,DanielleKrolMD,District of Columbia,4/6/2020," Who is at risk? 
 Mask behavior of others "," Who is at risk? 
 Mask behavior of others ",1,
38,rebeccacaldwe1l,Arizona,4/7/2020, Mask behavior of others , Mask behavior of others ,1,
39,yimbyarts,California,4/7/2020,Mask guidelines and policies ,Mask guidelines and policies ,1,
40,Shaysters,Indiana,4/7/2020," COVID severity 
 Mask behavior of others "," COVID severity 
 Mask behavior of others ",1,
41,RRancheria,California,4/10/2020, COVID severity , COVID severity ,1,
42,bluecnotes26th,Virginia,4/10/2020, Who is at risk? , Who is at risk? ,1,
43,all512tv,Texas,4/14/2020,"Mask guidelines and policies 
 COVID severity ","Mask guidelines and policies 
 COVID severity ",1,
44,pslarson2,Michigan,4/18/2020, Mask behavior of others , Mask behavior of others ,1,
45,Sean0336,New Jersey,4/18/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
46,serialTweeper,New York,4/21/2020, COVID severity , COVID severity ,1,
47,HairTyLLC,Tennessee,4/23/2020,Mask guidelines and policies ,Mask guidelines and policies ,1,
48,dirtyronmcd,California,4/24/2020, Nonrelevant, Nonrelevant,1,
49,THECOOKINMAMA,Nevada,4/25/2020,"Mask guidelines and policies 
 Political legitimizing of risk ","Mask guidelines and policies 
 Political legitimizing of risk ",1,Interesting: Relying on yourself  
50,JeffLassiter,California,5/1/2020, Nonrelevant, Nonrelevant,1,
51,rxh_716,New York,5/1/2020, Nonrelevant, Nonrelevant,1,
52,warren8127,Florida,5/1/2020, Nonrelevant, Nonrelevant,1,
53,ReneeLeeGreco,Illinois,5/1/2020, Nonrelevant, Nonrelevant,1,
54,viggenja37,Texas,5/1/2020,Mask guidelines and policies ,Mask guidelines and policies ,1,
55,_SimplyTini_,Michigan,5/1/2020, Mask behavior of others , Mask behavior of others ,1,Mask hostility 
56,hockeyrepair,California,5/1/2020, Nonrelevant, Nonrelevant,1,
57,JackieRobaina,California,5/2/2020, Mask behavior of others , Mask behavior of others ,1,
58,MUNK3Y_BOIIY87,Texas,5/2/2020, Nonrelevant, Nonrelevant,1,
59,__breezzii,New Jersey,5/2/2020, Nonrelevant, Nonrelevant,1,
60,CWHarris7,Illinois,5/2/2020," Who is at risk? 
 Mask behavior of others "," Who is at risk? 
 Mask behavior of others ",1,
61,Wendyki51325652,California,5/2/2020," Who is at risk? 
 Mask behavior of others "," Who is at risk? 
 Mask behavior of others ",1,
62,marisolapostol,California,5/3/2020, Nonrelevant, Nonrelevant,1,
63,schmaxie10,New York,5/3/2020, Nonrelevant, Nonrelevant,1,
64,Jesusorg1,California,5/3/2020,Mask guidelines and policies ,Mask guidelines and policies ,1,
65,Boinger,New York,5/3/2020, Mask behavior of others , Mask behavior of others ,1,
66,appl3s,Texas,5/3/2020, Nonrelevant, Nonrelevant,1,
67,StewardessChick,California,5/3/2020, Nonrelevant, Nonrelevant,1,
68,thenatestOUght,Florida,5/3/2020, Mask behavior of others , Mask behavior of others ,1,
69,GeraldScoty,Louisiana,5/3/2020, Who is at risk? , Who is at risk? ,1,
70,JaredTacos,Minnesota,5/3/2020, Mask behavior of others , Mask behavior of others ,1,
71,manthapaige13,Florida,5/3/2020, Mask behavior of others , Mask behavior of others ,1,
72,JavierVasquez85,Texas,5/4/2020, Mask behavior of others , Mask behavior of others ,1,
73,skywlkr_lukem,Arizona,5/4/2020,Mask guidelines and policies ,Mask guidelines and policies ,1,
74,AmyasNaegele,New York,5/4/2020, Nonrelevant, Nonrelevant,1,
75,SarahSquirm,California,5/4/2020, Nonrelevant, Nonrelevant,1,
76,JoshWal03767364,Colorado,5/4/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
77,art4theppl,Florida,5/5/2020, Nonrelevant, Nonrelevant,1,
78,c_cocom,California,5/5/2020, Nonrelevant, Nonrelevant,1,
79,CubsJim,Michigan,5/5/2020, Mask behavior of others , Mask behavior of others ,1,
80,Shop_Staykova,New York,5/5/2020," Who is at risk? 
 Mask behavior of others "," Who is at risk? 
 Mask behavior of others ",1,
81,bryanbehar,California,5/5/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
82,Maurice46478372,Florida,5/5/2020, Mask behavior of others , Mask behavior of others ,1,
83,MajorMikeWebb1,Virginia,5/6/2020, Mask effectiveness , Mask effectiveness ,1,
84,Marguer91662158,Michigan,5/8/2020,"Mask guidelines and policies 
 Political legitimizing of risk 
 Mask effectiveness ","Mask guidelines and policies 
 Political legitimizing of risk 
 Mask effectiveness ",1,Kids = Who is at RIsk
85,manhattanista,Florida,5/9/2020," Political legitimizing of risk 
 COVID severity "," Political legitimizing of risk 
 COVID severity ",1,
86,Spiritual_Kitty,Montana,5/9/2020, Mask effectiveness , Mask effectiveness ,1,
87,PilatesTempe,Arizona,5/9/2020, Nonrelevant, Nonrelevant,1,
88,aliciiajohnson,Indiana,5/10/2020," COVID severity 
 Mask behavior of others "," COVID severity 
 Mask behavior of others ",1,
89,EventHorizon821,Arizona,5/16/2020, Mask behavior of others , Mask behavior of others ,1,Against mask use
90,JessicaKMurray,Missouri,5/17/2020, Mask behavior of others , Mask behavior of others ,1,
91,MachineGunTours,Colorado,5/18/2020, Nonrelevant, Nonrelevant,1,
92,jasminedhall,Texas,5/22/2020, Mask effectiveness , Mask effectiveness ,1,
93,lauraelizabethm,Texas,5/22/2020,"Mask guidelines and policies 
 Who is at risk? ","Mask guidelines and policies 
 Who is at risk? ",1,
94,MV_Pat,Missouri,5/22/2020, Nonrelevant, Nonrelevant,1,
95,SummerSumski14,Texas,5/22/2020, Who is at risk? , Who is at risk? ,1,
96,Debeprettything,California,5/23/2020," Political legitimizing of risk 
 COVID severity "," Political legitimizing of risk 
 COVID severity ",1,
97,ncpack2010,Nebraska,5/23/2020," COVID severity 
 Mask behavior of others "," COVID severity 
 Mask behavior of others ",1,
98,GarBercury,Pennsylvania,5/25/2020,"Mask guidelines and policies 
 Political legitimizing of risk ","Mask guidelines and policies 
 Political legitimizing of risk ",1,
99,HeadyJed,Washington,5/25/2020, Nonrelevant, Nonrelevant,1,
100,LukeKnight23,Tennessee,5/26/2020," Political legitimizing of risk 
 Mask behavior of others 
 Mask effectiveness "," Political legitimizing of risk 
 Mask behavior of others 
 Mask effectiveness ",1,
101,vividjohn1,Oklahoma,5/26/2020,"Mask guidelines and policies 
 Political legitimizing of risk 
 COVID severity ","Mask guidelines and policies 
 Political legitimizing of risk 
 COVID severity ",1,
102,Estebeats,Texas,5/26/2020, Who is at risk? , Who is at risk? ,1,
103,RepWhitaker85,Arkansas,5/28/2020, Mask behavior of others , Mask behavior of others ,1,
104,SchindeleTodd,Utah,5/30/2020, Mask behavior of others , Mask behavior of others ,1,
105,nyman11209,California,5/30/2020, Mask behavior of others , Mask behavior of others ,1,
106,HenryELares,Florida,5/31/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
107,haircutfw,Missouri,5/31/2020," COVID severity 
 Who is at risk? "," COVID severity 
 Who is at risk? ",1,
108,sheyrperry,Indiana,5/31/2020, Who is at risk? , Who is at risk? ,1,
109,AntonioGiacomoM,Arizona,6/1/2020, Mask effectiveness , Mask effectiveness ,1,
110,CommunityYouth4,Indiana,6/5/2020,Mask guidelines and policies ,Mask guidelines and policies ,1,
111,chacal_lachaise,Texas,6/5/2020, Nonrelevant, Nonrelevant,1,
112,Syracuse1848,New York,6/6/2020," Political legitimizing of risk 
 Mask behavior of others "," Political legitimizing of risk 
 Mask behavior of others ",1,
113,Lessllliiiieeee,California,6/7/2020," COVID severity 
 Who is at risk? 
 Mask behavior of others "," COVID severity 
 Who is at risk? 
 Mask behavior of others ",1,
114,kts0601,North Carolina,6/10/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
115,SLentzsch,New York,6/10/2020," Who is at risk? 
 Mask behavior of others "," Who is at risk? 
 Mask behavior of others ",1,
116,NoopurRajeMD,Massachusetts,6/11/2020," Political legitimizing of risk 
 COVID severity 
 Mask behavior of others "," Political legitimizing of risk 
 COVID severity 
 Mask behavior of others ",1,
117,ihsanamin,Pennsylvania,6/12/2020, Nonrelevant, Nonrelevant,1,
118,MsDuhMeanor,Maryland,6/12/2020," Who is at risk? 
 Mask behavior of others "," Who is at risk? 
 Mask behavior of others ",1,
119,MichaelWPortman,Missouri,6/12/2020, Who is at risk? , Who is at risk? ,1,
120,TVNewsAngieReed,Utah,6/12/2020, Mask behavior of others , Mask behavior of others ,1,
121,AnnWarnell,Maryland,6/13/2020," COVID severity 
 Mask behavior of others "," COVID severity 
 Mask behavior of others ",1,
122,theheartofearl,Texas,6/14/2020," Who is at risk? 
 Mask behavior of others "," Who is at risk? 
 Mask behavior of others ",1,
123,__sleeepyhades0,Texas,6/14/2020, COVID severity , COVID severity ,1,
124,JasonnarT,New York,6/15/2020, Mask behavior of others , Mask behavior of others ,1,Asian subgroup 
185,doctorloafers,Michigan,4/4/2020,Mask guidelines and policies ,Mask guidelines and policies ,1,
125,MasonTBecker,Wisconsin,6/16/2020," COVID severity 
 Mask behavior of others "," COVID severity 
 Mask behavior of others ",1,
126,jackmonell,North Carolina,6/16/2020," COVID severity 
 Who is at risk? "," COVID severity 
 Who is at risk? ",1,
127,ParkerMolloy,Illinois,6/16/2020," Political legitimizing of risk 
 Mask effectiveness "," Political legitimizing of risk 
 Mask effectiveness ",1,
128,JoeHernandezVO,California,6/16/2020, Mask behavior of others , Mask behavior of others ,1,
129,JAPITTER,Maryland,6/17/2020," Political legitimizing of risk 
 Mask behavior of others "," Political legitimizing of risk 
 Mask behavior of others ",1,
130,ChiefSpartan116,Ohio,6/17/2020," Political legitimizing of risk 
 COVID severity 
 Mask behavior of others "," Political legitimizing of risk 
 COVID severity 
 Mask behavior of others ",1,
131,MrItty,Florida,6/23/2020, COVID severity , COVID severity ,1,
132,slaphappysam,Oklahoma,6/24/2020," Political legitimizing of risk 
 COVID severity "," Political legitimizing of risk 
 COVID severity ",1,
133,da_diktator,Maryland,6/24/2020," COVID severity 
 Mask behavior of others "," COVID severity 
 Mask behavior of others ",1,
134,TwWorthy,Pennsylvania,6/25/2020, COVID severity , COVID severity ,1,
135,ktbentson,California,6/25/2020," COVID severity 
 Mask behavior of others "," COVID severity 
 Mask behavior of others ",1,Altruism 
136,DanHogan95,Maryland,6/26/2020, Political legitimizing of risk , Political legitimizing of risk ,1,statement by politician
137,WalkerJohnson,Tennessee,6/26/2020, Mask behavior of others , Mask behavior of others ,1,
138,msdanielle_gray,Texas,6/26/2020, Mask effectiveness , Mask effectiveness ,1,Critique of Americans
139,vivimbmd,North Carolina,6/26/2020," Political legitimizing of risk 
 Who is at risk? "," Political legitimizing of risk 
 Who is at risk? ",1,
140,Blade_theDJ,New York,6/26/2020," Political legitimizing of risk 
 Mask behavior of others "," Political legitimizing of risk 
 Mask behavior of others ",1,
141,Hippieonthehill,Tennessee,6/26/2020,"Mask guidelines and policies 
 Mask effectiveness ","Mask guidelines and policies 
 Mask effectiveness ",1,
142,pasamafilms,Texas,6/26/2020," COVID severity 
 Mask behavior of others "," COVID severity 
 Mask behavior of others ",1,
143,zachydg_,Texas,6/26/2020, Nonrelevant, Nonrelevant,1,
144,JohnPate1,Tennessee,6/27/2020," Political legitimizing of risk 
 COVID severity 
 Who is at risk? "," Political legitimizing of risk 
 COVID severity 
 Who is at risk? ",1,
145,scotticusdenver,Florida,6/27/2020, Mask behavior of others , Mask behavior of others ,1,
146,sbrady1231,Massachusetts,6/28/2020," Political legitimizing of risk 
 Mask behavior of others "," Political legitimizing of risk 
 Mask behavior of others ",1,
147,CLRaj28,Texas,6/28/2020," COVID severity 
 Who is at risk? "," COVID severity 
 Who is at risk? ",1,
148,gabbi_little_,Florida,6/28/2020, Mask behavior of others , Mask behavior of others ,1,
149,JakeHudnut,New Jersey,6/29/2020,"Mask guidelines and policies 
 Mask behavior of others ","Mask guidelines and policies 
 Mask behavior of others ",1,
150,VincentDiazJr1,District of Columbia,6/30/2020," Political legitimizing of risk 
 COVID severity "," Political legitimizing of risk 
 COVID severity ",1,
151,russellkinsaul,Missouri,1/28/2020," COVID severity 
 Who is at risk? "," COVID severity 
 Who is at risk? ",1,
152,lindsritch,Iowa,1/29/2020, Mask behavior of others , Mask behavior of others ,1,
